model,baseline,rotation_gain,translation_gain,translation_unit,d1_mean,direction_ok_rate,frame_clean_rate,final_decision
cosmos3-nano-generator,,,,,None,None,None,NO_VIDEOS
easyanimate-v51-camera,ACCEPT,1.0,1.0,cameractrl_scene,0.7109300840087885,1.0,1.0,ACCEPT
gen3c,NEEDS_CALIBRATION,1.0,1.0,cache3d_scene,0.8825131411840673,0.6,1.0,NEEDS_CALIBRATION
hunyuan-game-craft,NEEDS_CALIBRATION,3.0,1.0,canonical_scene,0.4308538310191491,0.75,1.0,NEEDS_CALIBRATION
hunyuan-worldplay,NEEDS_CALIBRATION,3.0,1.0,canonical_scene,0.5493237751132787,0.95,1.0,NEEDS_CALIBRATION
hunyuanworld-voyager,BLOCKED,1.0,1.0,canonical_scene,None,0.0,1.0,BLOCKED
hydra,ACCEPT,1.0,1.0,hydra_c2w_pre_div100,0.7528783221704645,1.0,1.0,ACCEPT
hyworld-worldgen,BLOCKED,1.0,1.0,w2c_scene,None,None,None,BLOCKED
inspatio-world,NEEDS_CALIBRATION,3.0,1.0,official_displacement_scale,0.3362165272958881,0.5,1.0,NEEDS_CALIBRATION
lingbot-world,NEEDS_CALIBRATION,3.0,1.0,canonical_scene,0.27958285418986784,0.5,1.0,NEEDS_CALIBRATION
lingbot-world-act,NEEDS_CALIBRATION,3.0,1.0,canonical_scene,0.5411589273529342,0.95,1.0,NEEDS_CALIBRATION
liveworld,ACCEPT,1.0,1.0,trajectory_template_c2w,0.6749335969021878,1.0,1.0,ACCEPT
magicworld,ACCEPT,1.0,1.0,cameractrl_scene,0.7318267733924727,1.0,1.0,ACCEPT
matrix-game-2,NO_VIDEOS,1.0,1.0,canonical_scene,None,None,None,NO_VIDEOS
matrix-game-3,ACCEPT,1.0,1.0,canonical_scene,None,None,1.0,ACCEPT
minwm-hy-action2v,NO_VIDEOS,1.0,1.0,canonical_scene,None,None,None,NO_VIDEOS
recammaster,ACCEPT,1.0,1.0,relative_pose_embedding,0.6566921355665001,1.0,1.0,ACCEPT
sana-wm,ACCEPT,1.0,1.0,canonical_scene,0.7593948903742633,1.0,1.0,ACCEPT
spatia,NEEDS_CALIBRATION,3.0,1.0,w2c_scene,0.512007600996119,0.75,1.0,NEEDS_CALIBRATION
versecrafter,NEEDS_CALIBRATION,3.0,1.0,blender_c2w_scene,0.6433810375386437,0.9,1.0,NEEDS_CALIBRATION
wan21-fun-14b-cam,ACCEPT,1.0,2.0,canonical_scene,0.644722848738313,1.0,1.0,ACCEPT
wan21-fun-1p3b-cam,ACCEPT,1.0,2.0,canonical_scene,0.7362307337114251,1.0,1.0,ACCEPT
wan22-fun-5b-cam,ACCEPT,1.0,2.0,canonical_scene,0.6184077896394539,1.0,1.0,ACCEPT
wan22-fun-a14b-cam,ACCEPT,1.0,2.0,canonical_scene,0.6674993978958618,1.0,1.0,ACCEPT
